case,comparison,reference,candidate,psnr,ssim,mae,rmse
hq_ext_pw_dog_5002_flickr_dog_000054,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5002\flickr_dog_000054.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5002\flickr_dog_000054_rec_w_5002.png,21.2060,0.957381,15.5185,22.1943
hq_ext_pw_dog_5002_flickr_dog_000054,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5002\flickr_dog_000054.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_dog_5002\flickr_dog_000054_rec_wo_5002.png,17.2086,0.885593,25.4913,35.1650
hq_ext_pw_face_3001_00079,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3001\00079.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3001\00079_hide_pw_3001.png,21.1471,0.951390,15.5881,22.3452
hq_ext_pw_face_3001_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3001\00079.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3001\00079_rec_w_3001.png,25.2438,0.982023,9.5481,13.9428
hq_ext_pw_face_3001_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3001\00079.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3001\00079_rec_wo_3001.png,20.7905,0.947945,16.1266,23.2817
hq_ext_pw_face_3002_00079,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3002\00079.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3002\00079_hide_pw_3002.png,20.1423,0.933679,17.0102,25.0856
hq_ext_pw_face_3002_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3002\00079.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3002\00079_rec_w_3002.png,25.3390,0.981819,9.0579,13.7908
hq_ext_pw_face_3002_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3002\00079.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_pw_face_3002\00079_rec_wo_3002.png,20.9330,0.945291,15.5077,22.9030
hq_ext_sk_astronaut_sk_astronaut,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_astronaut\sk_astronaut.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_astronaut\sk_astronaut_hide_pw_6101.png,17.7655,0.911277,20.8690,32.9811
hq_ext_sk_astronaut_sk_astronaut,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_astronaut\sk_astronaut.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_astronaut\sk_astronaut_rec_w_6101.png,20.3349,0.953115,14.3395,24.5356
hq_ext_sk_astronaut_sk_astronaut,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_astronaut\sk_astronaut.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_astronaut\sk_astronaut_rec_wo_6101.png,16.7323,0.886523,23.3682,37.1470
hq_ext_sk_camera_sk_camera,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_camera\sk_camera.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_camera\sk_camera_hide_pw_6105.png,20.1470,0.935432,16.8399,25.0720
hq_ext_sk_camera_sk_camera,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_camera\sk_camera.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_camera\sk_camera_rec_w_6105.png,22.4791,0.966508,10.8365,19.1683
hq_ext_sk_camera_sk_camera,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_camera\sk_camera.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_camera\sk_camera_rec_wo_6105.png,19.9309,0.932698,17.6709,25.7037
hq_ext_sk_cat_sk_cat,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_cat\sk_cat.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_cat\sk_cat_hide_pw_6104.png,21.0230,0.742639,17.0098,22.6669
hq_ext_sk_cat_sk_cat,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_cat\sk_cat.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_cat\sk_cat_rec_w_6104.png,26.3232,0.939071,9.6651,12.3134
hq_ext_sk_cat_sk_cat,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_cat\sk_cat.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_cat\sk_cat_rec_wo_6104.png,20.3439,0.714260,18.4354,24.5102
hq_ext_sk_coffee_sk_coffee,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_coffee\sk_coffee.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_coffee\sk_coffee_hide_pw_6102.png,22.4476,0.955141,10.7433,19.2381
hq_ext_sk_coffee_sk_coffee,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_coffee\sk_coffee.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_coffee\sk_coffee_rec_w_6102.png,24.4517,0.975319,9.7962,15.2741
hq_ext_sk_coffee_sk_coffee,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_coffee\sk_coffee.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_coffee\sk_coffee_rec_wo_6102.png,22.4530,0.954684,11.1217,19.2261
hq_ext_sk_horse_sk_horse,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_horse\sk_horse.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_horse\sk_horse_hide_pw_6106.png,21.4534,0.984998,8.7135,21.5710
hq_ext_sk_horse_sk_horse,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_horse\sk_horse.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_horse\sk_horse_rec_w_6106.png,20.8187,0.984385,12.8901,23.2064
hq_ext_sk_horse_sk_horse,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_horse\sk_horse.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_horse\sk_horse_rec_wo_6106.png,20.8477,0.983785,9.5786,23.1290
hq_ext_sk_hubble_sk_hubble,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_hubble\sk_hubble.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_hubble\sk_hubble_hide_pw_6107.png,21.7612,0.715960,9.8174,20.8199
hq_ext_sk_hubble_sk_hubble,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_hubble\sk_hubble.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_hubble\sk_hubble_rec_w_6107.png,19.4956,0.672828,12.3651,27.0247
hq_ext_sk_hubble_sk_hubble,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_hubble\sk_hubble.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_hubble\sk_hubble_rec_wo_6107.png,21.2898,0.700002,9.8745,21.9811
hq_ext_sk_retina_sk_retina,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_retina\sk_retina.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_retina\sk_retina_hide_pw_6108.png,25.2378,0.973000,8.5983,13.9524
hq_ext_sk_retina_sk_retina,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_retina\sk_retina.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_retina\sk_retina_rec_w_6108.png,22.9995,0.950300,10.8653,18.0537
hq_ext_sk_retina_sk_retina,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_retina\sk_retina.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_retina\sk_retina_rec_wo_6108.png,24.7309,0.969131,9.3078,14.7909
hq_ext_sk_rocket_sk_rocket,stego,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_rocket\sk_rocket.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_rocket\sk_rocket_hide_pw_6103.png,24.9126,0.904415,8.4733,14.4847
hq_ext_sk_rocket_sk_rocket,correct recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_rocket\sk_rocket.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_rocket\sk_rocket_rec_w_6103.png,25.1666,0.926779,7.5088,14.0673
hq_ext_sk_rocket_sk_rocket,wrong recover,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_rocket\sk_rocket.png,D:\thesis\experiments\diffstega_outputs_hq_ext\hq_ext_sk_rocket\sk_rocket_rec_wo_6103.png,24.1604,0.881848,8.6854,15.7950
